Title,Description,Priority,Estimate,Labels,Status
"Add Idempotency to Tenant Webhook Handler","Add idempotency checks using isEventProcessed() and recordWebhookEvent() to prevent duplicate processing of tenant subscription events. File: apps/web/app/api/webhooks/stripe/tenant/route.ts",P0 - CRITICAL,1 hour,"backend,stripe,webhooks,production-blocker",Todo
"Add Idempotency to Workspace Subscription Webhook Handler","Add idempotency checks to workspace subscription webhook handler to prevent duplicate charges and incorrect workspace activations. File: apps/web/app/api/webhooks/stripe/subscription/route.ts",P0 - CRITICAL,1 hour,"backend,stripe,webhooks,production-blocker",Todo
"Add Idempotency to Payments Webhook Handler","Add idempotency checks to booking payments webhook handler to prevent double-charges and duplicate payment confirmations. File: apps/web/app/api/webhooks/stripe/payments/route.ts",P0 - CRITICAL,1 hour,"backend,stripe,webhooks,production-blocker",Todo
"Implement Payment Failure Email Notifications","Create email notifications when invoice payments fail. Include retry schedule, grace period, and payment method update link. Files: apps/web/lib/email/payment-failure.ts, webhook handlers",P0 - CRITICAL,2-3 hours,"backend,email,stripe,customer-communication",Todo
"Implement Payment Success Email Notifications","Send payment confirmation emails when invoices are paid successfully. Include receipt and invoice PDF link. File: apps/web/lib/email/payment-success.ts",P1 - HIGH,1-2 hours,"backend,email,stripe,customer-communication",Todo
"Implement Trial Ending Email Notifications","Send email 3 days before trial ends with payment method setup link. File: apps/web/lib/email/trial-ending.ts",P1 - HIGH,1-2 hours,"backend,email,stripe,customer-communication",Todo
"Add checkout.session.completed Handler to Tenant Webhook","Add handler for checkout.session.completed event to activate tenants immediately after Stripe Checkout. File: apps/web/app/api/webhooks/stripe/tenant/route.ts",P0 - CRITICAL,1 hour,"backend,stripe,webhooks,onboarding",Todo
"Create Comprehensive Webhook Tests","Create integration tests for all 4 webhook handlers. Target: 37+ tests covering idempotency, error scenarios, and event processing. Files: apps/web/__tests__/webhooks/",P1 - HIGH,4-5 hours,"backend,testing,stripe,webhooks",Todo
"Document Webhook Configuration","Create comprehensive webhook setup documentation including Stripe Dashboard setup, environment variables, event routing, and Stripe CLI testing. File: docs/webhooks/STRIPE_WEBHOOKS.md",P2 - MEDIUM,1 hour,"documentation,stripe",Todo
"Setup Webhook Monitoring Dashboard","Create admin dashboard to monitor webhook health, view failed events, and manually retry. Files: apps/web/app/dashboard/admin/webhooks/",P2 - MEDIUM,2-3 hours,"frontend,monitoring,admin-dashboard",Todo
